edge_id:int,source_node_id:int,target_node_id:int,label_id:int,down_flow:string,up_flow:string,date:string,count:string,visit_duration:string
31377,23,5754,2,120,92,23,1,0
31378,82,5754,2,40,40,15,1,99
31379,44,5754,2,67811,78721,18,10,15470
31380,44,5754,2,691,760,3,2,48
31381,80,5754,2,11016,2918,36,1,2895
31382,0,5754,2,86490,43292,38,46,51758
31383,27,5754,2,97,65,16,1,4520
31384,91,5754,2,534,1278,3,2,540
31385,36,5754,2,478,1049,11,2,1564
31386,27,5754,2,2704,5574,19,3,5670
31387,78,5754,2,46978,6147,14,3,6853
31388,27,5754,2,79,63,21,1,398
31389,46,5754,2,9292,1080,37,2,0
31390,27,5754,2,5233,793,28,2,392
31391,74,5754,2,114325,222584,20,150,312787
31392,25,5754,2,23142,8235,20,3,5172
31393,18,5754,2,5774,1570,21,1,0
31394,46,5754,2,179619,47166,33,6,13852
31395,78,5754,2,105819,10630,16,10,17480
31396,26,5754,2,1068,1127,10,2,5020
31397,27,5754,2,0,66,10,1,0
31398,32,5754,2,26290,80991,10,2,0
31399,55,5754,2,41585,31423,5,21,35162
31400,23,5754,2,89,57,16,1,131
31401,83,5754,2,5677,2191,22,1,4418
31402,0,5754,2,31732,14371,9,23,24669
31403,26,5754,2,267,171,6,2,160
31404,23,5754,2,389,82,17,1,406
31405,23,5754,2,89,57,15,1,39
31406,44,5754,2,28584,29260,19,6,9268
31407,2,5754,2,89,57,24,1,50
31408,42,5754,2,120,151,12,1,430
31409,78,5754,2,5617,2393,12,3,3021
31410,2,5754,2,1014,631,9,10,884
31411,44,5754,2,19530,22628,27,6,18878
31412,64,5754,2,6678,1105,12,4,6749
31413,26,5754,2,178,114,5,2,101
31414,42,5754,2,11411,3392,35,1,6743
31415,16,5754,2,356,228,20,2,79
31416,6,5754,2,21947,5317,17,5,12390
31417,76,5754,2,376,192,14,3,271
31418,0,5754,2,21388,8308,31,4,6996
31419,10,5754,2,1539,2199,25,2,1953
31420,24,5754,2,15945,8784,7,15,16897
31421,78,5754,2,10723,3989,23,3,158
31422,99,5754,2,40,0,1,1,0
31423,46,5754,2,555,653,2,2,1435
31424,55,5754,2,49912,19242,3,16,18948
31425,94,5754,2,6460,8317,4,10,7585
31426,21,5754,2,6300,4115,27,3,2916
31427,16,5754,2,178,114,14,1,0
31428,16,5754,2,89,57,15,1,42
31429,46,5754,2,79293,5598,13,10,5521
31430,46,5754,2,11548,21089,4,14,2208
31431,78,5754,2,84981,5598,31,2,5749
31432,55,5754,2,6623,2844,34,1,5726
31433,16,5754,2,4797,2104,33,1,2944
31434,55,5754,2,36918,47698,26,10,7605
31435,42,5754,2,38959,9116,40,4,10791
31436,28,5754,2,152,57,9,1,1046
31437,23,5754,2,23463,2695,44,1,0
31438,16,5754,2,567,350,5,6,288
31439,44,5754,2,11000,12152,21,6,6933
31440,94,5754,2,15919,5972,3,10,16705
31441,81,5754,2,94,62,3,1,70
31442,2,5754,2,569,346,18,6,404
31443,55,5754,2,174771,123989,4,56,65090
31444,2,5754,2,567,350,4,5,1009
31445,78,5754,2,132337,13754,5,10,7546
31446,42,5754,2,301961,100365,44,60,132161
31447,42,5755,2,1138,968,41,2,2840
31448,42,5755,2,1593,1732,31,3,3709
31449,27,5755,2,27356,13628,32,16,15097
31450,42,5755,2,691,542,1,2,4513
31451,44,5755,2,4593870,73564,38,11,16880
31452,0,5755,2,3216,4706,9,7,7945
31453,0,5755,2,95269,71464,32,114,116658
31454,42,5755,2,2025,2497,44,4,2533
31455,0,5755,2,19866,14162,37,25,27734
31456,42,5755,2,570,484,21,1,0
31457,27,5755,2,29129,15412,37,19,25628
31458,42,5755,2,570,484,37,1,3299
31459,79,5755,2,12045,2921,34,3,6366
31460,42,5755,2,2733,2740,42,5,11762
31461,0,5755,2,4249,2049,10,3,3528
31462,42,5755,2,570,484,45,1,0
31463,42,5755,2,1140,928,43,2,5252
31464,0,5755,2,28414,19932,35,36,29446
31465,7,5755,2,8360,778,38,1,1400
31466,19,5755,2,40,40,41,1,305
31467,0,5755,2,17900,14422,33,23,23558
31468,27,5755,2,19283,16421,35,16,22465
31469,0,5755,2,85775,63299,36,104,117446
31470,44,5755,2,132,486,36,1,1277
31471,0,5755,2,2500,1452,39,2,2260
31472,79,5755,2,40,94,5,1,0
31473,8,5755,2,49684886,1499575,42,58,94631
31474,44,5755,2,583717,10820,35,2,502
31475,6,5755,2,3119,5299,17,5,3189
31476,42,5755,2,570,484,8,1,0
31477,73,5755,2,160,164,36,2,623
31478,0,5755,2,13382,10055,41,16,16857
31479,46,5755,2,3824,1637,3,3,56
31480,27,5755,2,4491,4050,38,4,6483
31481,27,5755,2,86620,24869,36,28,41217
31482,0,5755,2,12251,9937,11,15,23134
31483,72,5755,2,4821,5281,1,9,3524
31484,0,5755,2,815,485,14,1,1000
31485,0,5755,2,3082,2156,12,3,1678
31486,43,5755,2,5451,6081,43,4,11002
31487,27,5755,2,19287,12308,33,15,15322
31488,0,5755,2,86634,63063,38,109,95455
31489,0,5755,2,51006,36355,31,32,37892
31490,0,5755,2,8412,5924,34,10,11259
31491,42,5755,2,568,484,19,1,8760
31492,6,5755,2,19721,6536,16,6,2052
31493,42,5755,2,569,484,34,1,5999
31494,43,5755,2,940,706,45,1,0
31495,42,5755,2,1100,892,40,2,2309
31496,19,5755,2,1544,415,42,1,2602
31497,0,5755,2,27972,16794,30,15,12232
31498,21,5755,2,816,487,31,1,1030
31499,27,5755,2,54701,5314,43,3,8397
31500,27,5755,2,16206,10616,34,14,7865
31501,42,5755,2,569,484,9,1,0
31502,42,5756,2,1916,1943,3,2,4513
31503,46,5756,2,240195,154339,10,34,10547
31504,46,5756,2,1143,922,13,3,1042
31505,55,5756,2,631,559,12,1,4540
31506,25,5756,2,79913,6931,35,1,6011
31507,50,5756,2,736,556,25,4,1968
31508,46,5756,2,1198,1210,4,4,2091
31509,46,5756,2,233,122,3,2,122
31510,44,5756,2,873,1707,4,2,7020
31511,46,5756,2,1081,794,24,2,801
31512,0,5756,2,971,966,9,1,0
31513,6,5757,2,78,62,16,1,99
31514,0,5757,2,156,124,9,1,51
31515,42,5757,2,84,68,11,1,104
31516,42,5757,2,84,68,19,1,0
31517,84,5757,2,67162,3108,38,1,0
31518,42,5757,2,193073,9177,8,3,121
31519,46,5757,2,78,62,3,1,51
31520,42,5757,2,84,68,9,1,17
31521,0,5757,2,78,62,11,1,52
31522,94,5758,2,0,200,5,1,2322
31523,0,5758,2,400,400,10,1,0
31524,78,5758,2,147,61,7,1,57
31525,32,5759,2,11684,6466,25,13,11958
31526,0,5759,2,940,652,10,3,1940
31527,39,5760,2,161,66,15,1,59
31528,79,5760,2,86097,23078,17,19,41766
31529,54,5760,2,98169,20201,45,10,12882
31530,42,5760,2,13379,3326,17,3,0
31531,40,5760,2,127182,34751,19,35,61182
31532,28,5760,2,823014,257553,2,226,500899
31533,28,5760,2,369212,105440,11,118,334950
31534,47,5760,2,956696,311328,16,324,695448
31535,18,5760,2,101076,29047,18,26,49452
31536,25,5760,2,2063,679,23,1,2901
31537,47,5760,2,26871,9033,6,12,19372
31538,19,5760,2,4366,1560,11,3,18273
31539,33,5760,2,80072,17449,45,13,25684
31540,40,5760,2,25593,5689,31,4,18270
31541,71,5760,2,248660,71087,8,64,185611
31542,71,5760,2,299632,64164,45,28,43228
31543,44,5760,2,1200,1784,15,1,870
31544,28,5760,2,302166,87092,16,82,171072
31545,71,5760,2,170306,37809,41,13,15274
31546,40,5760,2,15717,4886,8,5,5546
31547,69,5760,2,25483,4761,45,2,0
31548,36,5760,2,76170,24998,12,5,6600
31549,18,5760,2,205737,44782,43,25,65204
31550,40,5760,2,12773,2725,30,2,7330
31551,47,5760,2,258352,80323,20,63,104743
31552,28,5760,2,32400,7182,41,5,23898
31553,21,5760,2,6133,3546,1,12,3138
31554,28,5760,2,328162,74036,44,38,91968
31555,69,5760,2,8125,1580,39,1,615
31556,98,5760,2,9358,1703,43,1,200
31557,33,5760,2,37506,12147,43,6,4330
31558,56,5760,2,15376,4500,10,2,6251
31559,49,5760,2,2719,639,11,1,0
31560,28,5760,2,579616,166359,17,164,319888
31561,18,5760,2,354946,100949,24,103,212060
31562,33,5760,2,195857,57718,16,81,121495
31563,28,5760,2,58265,12951,39,8,17242
31564,28,5760,2,359611,96251,24,63,117301
31565,77,5760,2,13714,4835,11,7,18228
31566,28,5760,2,843803,265082,18,222,427569
31567,71,5760,2,207659,45234,38,19,54802
31568,60,5760,2,44513,16509,26,10,2374
31569,71,5760,2,196636,78701,7,67,101626
31570,26,5760,2,460,0,19,1,0
31571,28,5760,2,115307,25361,33,14,21584
31572,33,5760,2,94313,27283,23,40,112487
31573,40,5760,2,6462,1508,29,1,0
31574,33,5760,2,6441,1425,34,1,3415
31575,40,5760,2,99907,28475,22,36,67263
31576,95,5760,2,480,795,18,1,1546
31577,18,5760,2,112960,30284,28,29,70131
31578,33,5760,2,25893,7615,9,11,39670
31579,47,5760,2,135506,39259,13,36,87328
31580,71,5760,2,51084,10368,36,5,12725
31581,66,5760,2,37989,12211,6,8,21322
31582,33,5760,2,129714,36168,24,50,99131
31583,18,5760,2,165066,35596,31,22,49791
31584,62,5760,2,47492,14838,5,18,51969
31585,33,5760,2,12786,2862,38,2,12230
31586,28,5760,2,137887,30386,36,14,56836
31587,40,5760,2,44479,12615,14,19,60298
31588,28,5760,2,152485,45222,25,51,112711
31589,28,5760,2,97446,21789,37,12,17067
31590,99,5760,2,14746,4197,13,5,29024
31591,66,5760,2,60257,17486,11,18,42261
31592,21,5760,2,6080,2020,6,9,8198
31593,33,5760,2,53231,11829,31,8,27804
31594,40,5760,2,15007,4333,7,3,4727
31595,40,5760,2,175072,51643,21,59,116045
31596,18,5760,2,402799,89206,30,44,117041
31597,66,5760,2,6415,1423,38,1,0
31598,28,5760,2,621450,179442,14,160,353184
31599,28,5760,2,463742,133467,21,155,428579
31600,33,5760,2,173210,59524,6,76,175626
31601,5,5760,2,23747,6511,8,7,15197
31602,18,5760,2,43363,9733,34,6,7465
31603,5,5760,2,12956,2694,33,1,3991
31604,47,5760,2,107315,39187,22,29,71421
31605,66,5760,2,66933,24027,15,12,18959
31606,28,5760,2,820158,226748,19,196,430372
31607,66,5760,2,40807,13196,21,18,53671
31608,47,5760,2,794005,223276,19,152,327447
31609,28,5760,2,340019,102329,10,119,315344
31610,18,5760,2,159199,48285,26,59,103706
31611,40,5760,2,12904,2911,36,2,8601
31612,33,5760,2,207432,62074,14,84,174286
31613,47,5760,2,542038,173130,10,149,466651
31614,71,5760,2,102596,21272,35,8,13652
31615,5,5760,2,44778,13312,17,13,27767
31616,0,5760,2,15940,4509,1,6,16947
31617,40,5760,2,9333,2101,17,2,1773
31618,28,5760,2,898706,271055,3,236,653854
31619,42,5760,2,6466,1288,12,1,7184
31620,33,5760,2,61629,17265,20,26,43067
31621,12,5760,2,167490,47334,25,51,145121
31622,33,5760,2,6393,1425,29,1,1720
31623,28,5760,2,51730,11527,40,5,9173
31624,47,5760,2,125648,43425,17,47,82303
31625,62,5760,2,52,52,11,1,1225
31626,13,5760,2,5212,1232,4,1,1548
31627,71,5760,2,668664,190365,4,161,319899
31628,40,5760,2,30646,8161,12,14,51565
31629,18,5760,2,497926,144565,9,116,278702
31630,47,5760,2,165946,49128,2,47,88208
31631,47,5760,2,78278,29287,12,21,79896
31632,71,5760,2,230635,49572,43,13,21933
31633,11,5760,2,2024,680,43,1,5138
31634,33,5760,2,136901,37864,7,62,156722
31635,41,5760,2,38813,11491,2,3,1839
31636,2,5760,2,45882,13277,10,12,37324
31637,40,5760,2,6403,1467,28,1,0
31638,25,5760,2,21850,9250,6,6,25671
31639,6,5760,2,6413,1307,36,1,4752
31640,47,5760,2,74795,21412,18,25,45797
31641,47,5760,2,824144,241108,8,235,534726
31642,66,5760,2,12886,2979,30,2,0
31643,66,5760,2,36101,9515,5,7,5894
31644,15,5760,2,160,249,5,1,2535
31645,5,5760,2,48864,14343,18,15,35268
31646,28,5760,2,235171,51185,45,29,71299
31647,18,5760,2,387947,108427,1,91,207434
31648,26,5760,2,30716,8851,22,12,38905
31649,91,5760,2,300,120,34,1,1619
31650,40,5760,2,12559,2685,34,2,3712
31651,33,5760,2,291065,88035,15,120,256139
31652,18,5760,2,43405,9304,41,7,23624
31653,18,5760,2,204028,43489,37,20,64974
31654,40,5760,2,64219,14464,37,9,10420
31655,71,5760,2,47570,9787,40,7,16242
31656,5,5760,2,15218,4084,14,6,8592
31657,18,5760,2,491486,140962,2,114,241916
31658,25,5760,2,88468,23601,12,24,73910
31659,18,5760,2,26725,11426,20,18,22763
31660,54,5760,2,7893,1593,40,1,5391
31661,66,5760,2,14576,4767,27,6,15873
31662,28,5760,2,88967,25233,20,34,58141
31663,28,5760,2,481763,143282,26,127,210184
31664,28,5760,2,889496,253206,4,199,514521
31665,28,5760,2,549357,163411,5,120,260549
31666,21,5760,2,4080,2250,7,10,473
31667,66,5760,2,19758,7047,2,13,25366
31668,21,5760,2,52087,4188,8,9,9608
31669,18,5760,2,226285,46965,32,24,52251
31670,66,5760,2,48796,14574,3,18,80770
31671,66,5760,2,5663,1815,24,4,12800
31672,69,5760,2,16740,4364,21,4,85
31673,18,5760,2,162714,36124,38,21,43993
31674,40,5760,2,4324,551,25,1,4070
31675,28,5760,2,15801,2948,30,2,4496
31676,18,5760,2,99894,21323,35,10,20039
31677,40,5760,2,11036,2081,40,1,402
31678,28,5760,2,668475,208276,23,200,459218
31679,33,5760,2,58145,13177,36,9,20130
31680,47,5760,2,612947,183322,11,162,440673
31681,11,5760,2,96589,19079,41,8,10868
31682,28,5760,2,842999,273596,12,242,493442
31683,71,5760,2,301774,89942,2,56,150513
31684,28,5760,2,381574,111521,28,88,183634
31685,47,5760,2,599343,193587,14,116,238881
31686,47,5760,2,114439,34560,7,33,51922
